date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:08:06	42120/42120	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2002:53:44%20GMT	https://pixner.net/boleto/demo/index.html	C:/My%20Web%20Sites/da1/pixner.net/boleto/demo/index.html	(from )
20:08:07	713/713	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Nov%202023%2013:08:07%20GMT	https://pixner.net/robots.txt		(from )
20:08:08	155758/155758	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Aug%202019%2004:19:46%20GMT	https://pixner.net/boleto/demo/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/da1/pixner.net/boleto/demo/assets/css/bootstrap.min.css	(from https://pixner.net/boleto/demo/index.html)
20:08:08	45718/45718	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Aug%202019%2004:19:46%20GMT	https://pixner.net/boleto/demo/assets/css/all.min.css	C:/My%20Web%20Sites/da1/pixner.net/boleto/demo/assets/css/all.min.css	(from https://pixner.net/boleto/demo/index.html)
20:08:08	62554/62554	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Nov%202019%2011:26:18%20GMT	https://pixner.net/boleto/demo/assets/css/animate.css	C:/My%20Web%20Sites/da1/pixner.net/boleto/demo/assets/css/animate.css	(from https://pixner.net/boleto/demo/index.html)
20:08:09	2501/2501	---M-Z	200	added ('OK')	text/css	date:Sun,%2019%20Jan%202020%2007:41:30%20GMT	https://pixner.net/boleto/demo/assets/css/flaticon.css	C:/My%20Web%20Sites/da1/pixner.net/boleto/demo/assets/css/flaticon.css	(from https://pixner.net/boleto/demo/index.html)
20:08:09	6981/6981	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Dec%202019%2007:04:10%20GMT	https://pixner.net/boleto/demo/assets/css/magnific-popup.css	C:/My%20Web%20Sites/da1/pixner.net/boleto/demo/assets/css/magnific-popup.css	(from https://pixner.net/boleto/demo/index.html)
20:08:09	3478/3478	---M-Z	200	added ('OK')	text/css	date:Mon,%2004%20Nov%202019%2006:56:36%20GMT	https://pixner.net/boleto/demo/assets/css/odometer.css	C:/My%20Web%20Sites/da1/pixner.net/boleto/demo/assets/css/odometer.css	(from https://pixner.net/boleto/demo/index.html)
20:08:09	3351/3351	---M-Z	200	added ('OK')	text/css	date:Fri,%2020%20Apr%202018%2023:22:10%20GMT	https://pixner.net/boleto/demo/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/da1/pixner.net/boleto/demo/assets/css/owl.carousel.min.css	(from https://pixner.net/boleto/demo/index.html)
20:08:10	1013/1013	---M-Z	200	added ('OK')	text/css	date:Fri,%2020%20Apr%202018%2023:22:10%20GMT	https://pixner.net/boleto/demo/assets/css/owl.theme.default.min.css	C:/My%20Web%20Sites/da1/pixner.net/boleto/demo/assets/css/owl.theme.default.min.css	(from https://pixner.net/boleto/demo/index.html)
20:08:10	4093/4093	---M-Z	200	added ('OK')	text/css	date:Thu,%2010%20Oct%202019%2012:32:24%20GMT	https://pixner.net/boleto/demo/assets/css/nice-select.css	C:/My%20Web%20Sites/da1/pixner.net/boleto/demo/assets/css/nice-select.css	(from https://pixner.net/boleto/demo/index.html)
20:08:11	30919/30919	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Jan%202020%2004:52:22%20GMT	https://pixner.net/boleto/demo/assets/css/jquery.animatedheadline.css	C:/My%20Web%20Sites/da1/pixner.net/boleto/demo/assets/css/jquery.animatedheadline.css	(from https://pixner.net/boleto/demo/index.html)
